threshold_25,threshold_50,threshold_75,accuracy,avg_flops_giga,exit_25_rate,exit_50_rate,exit_75_rate,dense_rate,exit_25_acc,exit_50_acc,exit_75_acc,dense_exit_acc,pareto_optimal
0.95,0.5,0.6,0.793,0.975525,0.418,0.5158,0.0426,0.0236,0.962679,0.698333,0.507042,0.372881,False
0.6,0.95,0.7,0.7928,0.874291,0.7622,0.0704,0.1012,0.0662,0.844398,0.809659,0.62253,0.441088,False
0.6,0.95,0.8,0.7928,0.895231,0.7622,0.0704,0.0818,0.0856,0.844398,0.809659,0.667482,0.439252,False
0.7,0.8,0.3,0.7928,0.834209,0.6886,0.1726,0.1332,0.0056,0.877432,0.705678,0.483483,0.428571,False
0.8,0.6,0.6,0.7928,0.8729,0.6118,0.2986,0.0568,0.0328,0.907159,0.654387,0.524648,0.384146,False
0.6,0.95,0.9,0.7922,0.921137,0.7622,0.0704,0.0578,0.1096,0.844398,0.809659,0.712803,0.459854,False
0.6,0.95,0.6,0.792,0.857236,0.7622,0.0704,0.117,0.0504,0.844398,0.809659,0.596581,0.428571,False
0.9,0.4,0.9,0.792,0.889137,0.502,0.4652,0.0084,0.0244,0.948606,0.645744,0.690476,0.393443,False
0.9,0.4,0.95,0.7916,0.892591,0.502,0.4652,0.0052,0.0276,0.948606,0.645744,0.769231,0.398551,False
0.6,0.9,0.8,0.7914,0.862116,0.7622,0.0964,0.0652,0.0762,0.844398,0.73444,0.662577,0.44357,False
0.7,0.7,0.4,0.7914,0.815969,0.6886,0.2018,0.097,0.0126,0.877432,0.676908,0.470103,0.396825,True
0.8,0.6,0.5,0.7914,0.859947,0.6118,0.2986,0.0688,0.0208,0.907159,0.654387,0.482558,0.375,False
0.9,0.5,0.5,0.7914,0.904963,0.502,0.4358,0.0472,0.015,0.948606,0.665902,0.432203,0.306667,False
0.6,0.9,0.7,0.7912,0.843334,0.7622,0.0964,0.0826,0.0588,0.844398,0.73444,0.615012,0.442177,False
0.6,0.9,0.9,0.7912,0.883272,0.7622,0.0964,0.0456,0.0958,0.844398,0.73444,0.719298,0.45929,False
0.6,0.95,0.95,0.7912,0.941646,0.7622,0.0704,0.0388,0.1286,0.844398,0.809659,0.768041,0.472784,False
0.9,0.4,0.8,0.7912,0.884603,0.502,0.4652,0.0126,0.0202,0.948606,0.645744,0.571429,0.366337,False
0.95,0.5,0.5,0.7912,0.966674,0.418,0.5158,0.0508,0.0154,0.962679,0.698333,0.464567,0.324675,False
0.6,0.9,0.6,0.7908,0.828654,0.7622,0.0964,0.0962,0.0452,0.844398,0.73444,0.590437,0.433628,False
0.7,0.7,0.3,0.7908,0.807333,0.6886,0.2018,0.105,0.0046,0.877432,0.676908,0.459048,0.391304,True
0.7,0.6,0.9,0.7906,0.833819,0.6886,0.2334,0.023,0.055,0.877432,0.641817,0.643478,0.396364,False
0.9,0.5,0.4,0.7906,0.897839,0.502,0.4358,0.0538,0.0084,0.948606,0.665902,0.39777,0.333333,False
0.6,0.9,0.95,0.7904,0.90119,0.7622,0.0964,0.029,0.1124,0.844398,0.73444,0.786207,0.47331,False
0.9,0.4,0.7,0.7904,0.879206,0.502,0.4652,0.0176,0.0152,0.948606,0.645744,0.477273,0.355263,False
0.95,0.4,0.9,0.7904,0.948728,0.418,0.5476,0.0096,0.0248,0.962679,0.677867,0.708333,0.403226,False
0.7,0.6,0.95,0.7902,0.842454,0.6886,0.2334,0.015,0.063,0.877432,0.641817,0.706667,0.406349,False
0.9,0.5,0.3,0.7902,0.892658,0.502,0.4358,0.0586,0.0036,0.948606,0.665902,0.385666,0.333333,False
0.95,0.5,0.4,0.7902,0.959119,0.418,0.5158,0.0578,0.0084,0.962679,0.698333,0.429066,0.333333,False
